date,open,high,low,close,volume,turnover
20251010,35000,35750,34650,35400,128145,4508998700
20251013,35400,36500,34750,35950,167261,6008272425
20251014,36000,36300,35250,35800,176761,6310287725
20251015,35700,35950,35450,35750,96528,3444719650
20251016,35750,36000,35450,35750,117782,4199791950
20251017,35150,36150,35050,35550,180948,6456173250
20251020,35400,36950,35050,36500,284002,10276570925
20251021,36450,37050,36250,36700,169229,6206639375
20251022,36500,36600,36000,36050,97746,3538812625
20251023,35800,35900,34950,35150,182779,6441517750
20251024,35300,35400,34500,35000,208750,7287302575
20251027,34600,35250,34550,34950,142270,4963509450
20251028,34700,35200,34700,34900,121772,4247011725
20251029,34900,35000,33850,34300,214958,7385369875
20251030,34000,34700,33950,34200,158601,5444342225
20251031,34500,34900,34350,34600,131882,4560460775
20251103,35050,35550,34550,34900,171320,6025075575
20251104,34750,36000,34600,35650,273300,9730160650
20251105,35500,35650,34150,34800,213642,7398184000
20251106,34950,35250,34200,34400,103694,3580168500
20251107,34700,35950,34250,35900,226092,7933404925
20251110,35600,37100,35600,36750,315868,11596146675
20251111,36400,36950,35700,35900,203865,7356632125
20251112,38450,39900,37550,38900,888950,34435941725
20251113,38400,39500,38050,38700,403975,15709571475
20251114,38350,39750,38150,39100,214833,8410147100
20251117,39200,39400,38650,39350,143566,5607302550
20251118,38950,39650,38600,38700,132882,5167051500
20251119,38750,38850,37850,38600,153074,5876459625
20251120,38750,39050,38400,38550,142381,5500567175
20251121,37650,37950,37000,37750,165619,6201163025
20251124,37900,38400,37000,37150,182748,6829920525
20251125,37100,37450,36050,36150,149971,5460666825
20251126,36400,36750,36000,36100,122395,4450598625
20251127,36000,36000,35400,35550,96042,3426331200
20251128,35900,36550,35850,36150,126784,4585923625
20251201,36350,38400,36100,38050,241228,9137550900
20251202,37700,38800,37650,38700,138447,5324230800
20251203,38800,38950,38200,38350,103572,3987860625
20251204,38300,39800,38300,38700,222507,8698733425
20251205,38650,38700,37950,38650,122140,4682848925
20251208,38150,38400,37600,37750,113356,4298133750
20251209,37500,37650,36800,37150,479700,17555807575
20251210,36700,37700,36350,37700,250102,9247421625
20251211,37900,38150,36950,37300,261836,9757682475
20251212,37450,37800,37050,37500,119781,4476345895
20251215,37350,37700,36900,37700,112614,4207628525
20251216,37350,37650,37050,37450,198353,7416086775
20251217,37400,37600,36800,37350,148692,5512759675
20251218,37350,37400,36400,36550,147306,5409104175
20251219,36600,36800,36050,36350,282839,10287346400
20251222,36400,36700,36150,36200,106912,3881935350
20251223,36450,36550,35950,36150,114473,4145038525
20251224,36150,37350,35900,37350,148322,5437621100
20251226,37400,38300,37000,37100,150032,5607969150
20251229,37100,37400,36850,37200,117365,4363956100
20251230,36950,37800,36950,37400,102811,3840029525
20260102,37450,40200,37450,39800,365359,14422553850
20260105,40000,40300,37500,37700,374803,14428761675
20260106,37600,38450,37550,38200,132857,5060056175
20260107,37850,38100,37400,37650,135881,5119807975
20260108,37600,38450,37500,38050,185092,7026780650
20260109,38150,38500,37700,37750,98277,3730629650
20260112,38100,39500,37800,39100,208323,8117225850
20260113,38800,40250,38800,39700,203095,8072871250
20260114,39550,41050,39550,40250,243890,9832088500
20260115,40000,40250,39700,39900,108100,4317258725
20260116,39800,40000,39050,39350,185268,7296018275
20260119,39000,40800,38600,40450,168745,6799745525
20260120,40250,41800,40050,41600,315530,12975857400
20260121,40950,41300,40400,40550,237265,9667134850
20260122,42450,43900,42250,42950,349591,15022742100
20260123,43450,44050,42800,43950,409265,17848993275
20260126,46000,52800,45550,49800,1675767,84200450375
20260127,50100,52700,49850,51800,725744,37378784150
20260128,53100,55900,52800,55100,839020,45727307900
20260129,57600,57600,51900,55800,829881,46019054700
20260130,59500,59500,56700,57200,724857,42238778750
20260202,56300,59300,55000,55300,615677,34969662750
20260203,57800,57800,51800,52500,909770,48129332750
20260204,52100,55500,52100,52900,450897,24170670500
20260205,52000,53900,50700,52600,349581,18377986450
20260206,53700,55400,52100,53300,421668,22507189950
20260209,53600,54700,52500,53700,352701,18866105100
20260210,53700,54800,53500,53700,220793,11933818400
20260211,53800,54800,53100,53400,269933,14473493800
20260212,53100,54400,52200,53500,261484,13993917700
20260213,53300,54400,49250,49900,796402,40250194400
20260219,50900,54000,50900,53600,503188,26553672350
20260220,53400,53900,52400,52600,296102,15688784550
20260223,52900,53500,51000,51200,300419,15629758800
20260224,50500,50800,48900,49450,435645,21611372550
20260225,49850,51700,49000,51100,393681,19901760950
20260226,52100,52700,50500,51200,295125,15149309350
20260227,50500,54300,50200,53600,470516,24770258250
20260303,57900,64000,57100,60000,1840184,112401358900
20260304,60500,61800,53100,54000,1085326,61480230750
20260305,58200,58900,50500,54900,1350504,73113530500
20260306,53500,59500,53400,58800,919336,52630295900
20260309,57700,67300,56800,66100,2019298,127661481450
20260310,66200,70600,63000,64500,1468341,97766563650
20260311,65100,66900,61000,61400,862313,54123282900
20260312,61100,62000,59100,60100,794782,47764042100
20260313,63200,67500,61300,65800,1714249,112167300000
