date,open,high,low,close,volume,turnover
20251010,36650,36800,36300,36450,38186,1392202725
20251013,36400,36400,35550,35700,45326,1622374800
20251014,35700,35900,34800,34900,52589,1853373375
20251015,34900,35600,34850,35550,24490,864304775
20251016,35700,36050,35300,35650,32906,1172384150
20251017,35300,35500,35000,35000,32243,1134300850
20251020,35000,35400,34700,35050,30786,1078826900
20251021,35100,35500,35000,35250,30590,1077606425
20251022,35250,35600,34950,35400,23590,832044475
20251023,35150,35500,35000,35050,26545,933646475
20251024,35100,35250,34900,35100,32035,1122949900
20251027,35100,35550,35100,35550,43511,1539831700
20251028,35700,36200,35450,35700,28745,1028720200
20251029,35950,36000,35000,35100,65150,2293492825
20251030,35350,35350,33900,34000,94239,3235657375
20251031,34000,34500,34000,34100,28085,962061700
20251103,34300,35950,34300,34800,59766,2084067250
20251104,34500,34700,34100,34250,26651,917326750
20251105,34250,34250,33000,33550,63220,2112818300
20251106,33600,33950,32950,33500,30713,1023740050
20251107,33350,33500,32750,32950,41726,1374699575
20251110,33250,34100,33250,34000,40080,1352760000
20251111,34100,34700,31700,32050,112127,3640103550
20251112,31950,33250,31650,33150,82047,2688889400
20251113,32850,33600,32850,33250,28168,939028300
20251114,33250,33300,32650,32650,22988,757663600
20251117,32700,32850,31700,32300,42251,1355303275
20251118,32050,32300,31250,31250,58172,1837785400
20251119,31250,31550,30600,31500,49267,1531011950
20251120,31450,31550,31000,31300,31122,974927300
20251121,31000,31000,30350,30650,55480,1697216500
20251124,30700,31250,30350,30450,52068,1594390900
20251125,30850,30900,30200,30400,25454,776564325
20251126,30400,31200,30400,30600,28439,877269325
20251127,30650,31100,30650,30750,16321,504548775
20251128,31150,31350,30800,31150,24895,774548525
20251201,31150,32000,31150,31300,50461,1591424375
20251202,31550,31650,31200,31300,25675,805703425
20251203,31500,31500,31150,31250,24210,757083125
20251204,31250,31300,30400,30550,47866,1471534675
20251205,30550,30700,30200,30600,33620,1024640950
20251208,30700,30800,30200,30450,41772,1267517850
20251209,30450,30500,30200,30500,21891,664208575
20251210,30450,30450,30000,30050,39590,1194266375
20251211,30050,30200,29700,29850,64217,1920326625
20251212,30150,30250,29700,30000,51826,1548021325
20251215,29800,30050,29600,29950,28618,854464250
20251216,29800,29950,29250,29650,76828,2269934275
20251217,29550,29750,29150,29450,69772,2047547650
20251218,29450,29450,29050,29050,36747,1070588000
20251219,29100,29450,28900,29300,53133,1547339900
20251222,29300,29700,29300,29550,32372,956657000
20251223,29550,29850,29400,29500,31069,918844850
20251224,29450,29650,29250,29650,28203,831085550
20251226,29650,29750,29150,29400,51175,1500282725
20251229,29300,29300,28800,29050,33388,969251375
20251230,28900,29250,28900,29050,22236,647204400
20260102,29000,30150,28950,29950,59589,1772849650
20260105,30200,30400,29400,29400,41655,1238131825
20260106,31900,32050,30550,31000,106358,3325376550
20260107,30950,30950,29650,29850,72107,2159473925
20260108,29950,30350,29250,30100,56549,1684185850
20260109,30100,30300,29800,30150,37438,1127285275
20260112,30150,30800,29700,30350,60449,1833076175
20260113,30850,31250,30550,30800,56292,1732997225
20260114,30750,31400,30450,31150,65363,2029197525
20260115,30950,31700,30650,31150,41018,1270653000
20260116,31100,31200,30350,30850,56066,1725355700
20260119,30450,31050,30300,30950,40443,1242198550
20260120,30750,31600,30750,31300,60700,1897845000
20260121,30800,31000,30400,31000,67348,2066122325
20260122,31000,32100,31000,32000,113525,3618299250
20260123,32150,33550,31800,33350,180537,5938508075
20260126,33300,38200,31700,34750,536802,18956978025
20260127,34700,37250,34500,36750,266961,9670057600
20260128,37300,37650,36800,37550,165345,6174371250
20260129,37550,38500,36700,38400,163817,6203046325
20260130,38650,38700,36900,36900,125410,4734808400
20260202,36050,36750,35000,35200,107383,3838849725
20260203,36300,36300,34550,35550,79511,2792062100
20260204,35050,35550,34750,35050,64213,2251522325
20260205,34750,35300,34350,34500,68323,2372964950
20260206,34100,34500,33500,33800,44124,1498840150
20260209,34200,35150,34200,35050,41487,1442068650
20260210,35000,35650,34550,34750,26287,918032950
20260211,34950,35250,34750,35000,23163,809766975
20260212,35000,37200,34900,37100,122189,4435830875
20260213,36400,36600,35300,35300,58809,2105035100
20260219,35900,36300,35350,35950,69495,2498530650
20260220,36200,36350,35700,36300,27371,986299925
20260223,36050,36550,35650,35800,35648,1285111900
20260224,35500,36350,35500,35800,22620,812284025
20260225,36000,36200,35600,35950,26154,939069525
20260226,36450,36450,35550,35600,54053,1939672800
20260227,35500,36050,35050,35900,43331,1540578000
20260303,35900,35900,33300,33500,71453,2484975775
20260304,31600,32600,29800,29900,129096,3997902875
20260305,31200,33000,30900,31850,95040,3033390175
20260306,31450,33500,31400,33500,61689,2011256425
20260309,32000,35450,31900,35100,102929,3481591950
